BaseCode,SectionBreakStartKM,SectionBreakFinishKM
ARTC-12,197.02,197.04
ARTC-12,197.04,197.06
ARTC-12,197.06,197.08
ARTC-12,197.08,197.1
ARTC-12,197.1,197.12
ARTC-12,197.12,197.14
ARTC-12,197.14,197.16
ARTC-12,197.16,197.18
ARTC-12,197.18,197.2
ARTC-12,197.2,197.22
ARTC-12,197.22,197.24
ARTC-12,197.24,197.26
ARTC-12,197.26,197.28
ARTC-12,197.28,197.3
ARTC-12,197.3,197.32
ARTC-12,197.32,197.34
ARTC-12,197.34,197.36
ARTC-12,197.36,197.38
ARTC-12,197.38,197.4
ARTC-12,197.4,197.42
ARTC-12,197.42,197.44
ARTC-12,197.44,197.46
ARTC-12,197.46,197.48
ARTC-12,197.48,197.5
ARTC-12,197.5,197.52
ARTC-12,197.52,197.54
ARTC-12,197.54,197.56
ARTC-12,197.56,197.58
ARTC-12,197.58,197.6
ARTC-12,197.6,197.62
ARTC-12,197.62,197.64
ARTC-12,197.64,197.66
ARTC-12,197.66,197.68
ARTC-12,197.68,197.7
ARTC-12,197.7,197.72
ARTC-12,197.72,197.74
ARTC-12,197.74,197.76
ARTC-12,197.76,197.78
ARTC-12,197.78,197.8
ARTC-12,197.8,197.82
ARTC-12,197.82,197.84
ARTC-12,197.84,197.86
ARTC-12,197.86,197.88
ARTC-12,197.88,197.9
ARTC-12,197.9,197.92
ARTC-12,197.92,197.94
ARTC-12,197.94,197.96
ARTC-12,197.96,197.98
ARTC-12,197.98,198
ARTC-12,198,198.02
ARTC-12,198.02,198.04
ARTC-12,198.04,198.06
ARTC-12,198.06,198.08
ARTC-12,198.08,198.1
ARTC-12,198.1,198.12
ARTC-12,198.12,198.14
ARTC-12,198.14,198.16
ARTC-12,198.16,198.18
ARTC-12,198.18,198.2
ARTC-12,198.2,198.22
ARTC-12,198.22,198.24
ARTC-12,198.24,198.26
ARTC-12,198.26,198.28
ARTC-12,198.28,198.3
ARTC-12,198.3,198.32
ARTC-12,198.32,198.34
ARTC-12,198.34,198.36
ARTC-12,198.36,198.38
ARTC-12,198.38,198.4
ARTC-12,198.4,198.42
ARTC-12,198.42,198.44
ARTC-12,198.44,198.46
ARTC-12,198.46,198.48
ARTC-12,198.48,198.5
ARTC-12,198.5,198.52
ARTC-12,198.52,198.54
ARTC-12,198.54,198.56
ARTC-12,198.56,198.58
ARTC-12,198.58,198.6
ARTC-12,198.6,198.62
ARTC-12,198.62,198.64
ARTC-12,198.64,198.66
ARTC-12,198.66,198.68
ARTC-12,198.68,198.7
ARTC-12,198.7,198.72
ARTC-12,198.72,198.74
ARTC-12,198.74,198.76
ARTC-12,198.76,198.78
ARTC-12,198.78,198.8
ARTC-12,198.8,198.82
ARTC-12,198.82,198.84
ARTC-12,198.84,198.86
ARTC-12,198.86,198.88
